model,feature,category,selection_mean_ic,selection_abs_ic,sign_multiplier
rank_signed_small_ic_blend46,roaq,profitability_quality,0.0275249782188685,0.0275249782188685,1
rank_signed_small_ic_blend46,mom36m,momentum,0.0263273728060259,0.0263273728060259,1
rank_signed_small_ic_blend46,ms,intangibles_attention,0.0253082803793682,0.0253082803793682,1
rank_signed_small_ic_blend46,herf,growth_operations,-0.0244080435489969,0.0244080435489969,-1
rank_signed_small_ic_blend46,mve_ia,intangibles_attention,0.0238785680395352,0.0238785680395352,1
rank_signed_small_ic_blend46,stdacc,accounting_balance,-0.0237316778999593,0.0237316778999593,-1
rank_signed_small_ic_blend46,stdcf,accounting_balance,-0.0233349608356827,0.0233349608356827,-1
rank_signed_small_ic_blend46,saleinv,growth_operations,0.0224394494545385,0.0224394494545385,1
rank_signed_small_ic_blend46,absacc,accounting_balance,-0.0211937805209109,0.0211937805209109,-1
rank_signed_small_ic_blend46,secured,accounting_balance,-0.0206755196189604,0.0206755196189604,-1
rank_signed_small_ic_blend46,sp,intangibles_attention,0.0197236581391119,0.0197236581391119,1
rank_signed_small_ic_blend46,indmom,momentum,0.018064802357499,0.018064802357499,1
rank_signed_small_ic_blend46,sic2_10,industry,-0.0142260372736356,0.0142260372736356,-1
rank_signed_small_ic_blend46,pchgm_pchsale,growth_operations,0.0131365115342491,0.0131365115342491,1
rank_signed_small_ic_blend46,egr,growth_operations,0.0119305654388339,0.0119305654388339,1
rank_signed_small_ic_blend46,sic2_63,industry,0.0117373958935345,0.0117373958935345,1
rank_signed_small_ic_blend46,sic2_15,industry,-0.0106451121668335,0.0106451121668335,-1
rank_signed_small_ic_blend46,sic2_65,industry,-0.0097496665200687,0.0097496665200687,-1
rank_signed_small_ic_blend46,sic2_67,industry,0.0097077954969725,0.0097077954969725,1
rank_signed_small_ic_blend46,sic2_49,industry,0.0096443910060947,0.0096443910060947,1
rank_signed_small_ic_blend46,sic2_73,industry,-0.0095818743624581,0.0095818743624581,-1
rank_signed_small_ic_blend46,sic2_78,industry,-0.0092542657061104,0.0092542657061104,-1
rank_signed_small_ic_blend46,pchquick,growth_operations,0.0085294980786185,0.0085294980786185,1
